season_week,season,week,n,k,edr,rank_elim,pct_elim,fanfavor_elim_rank,fanfavor_elim_percentage,rank_hits,pct_hits
29_6,29,6,11,1,0,['Veron Davis_Peta Murgatroyd_29'],['Veron Davis_Peta Murgatroyd_29'],-0.1,-0.1,1,1
29_7,29,7,10,1,0,['Monica Aldama_Valentin Chmerkovskiy_29'],['Monica Aldama_Valentin Chmerkovskiy_29'],0.2222222222222222,0.2222222222222222,1,1
29_8,29,8,8,1,0,['Chrishell Stause_Gleb Savchenko_29'],['Chrishell Stause_Gleb Savchenko_29'],0.0,0.0,1,1
29_9,29,9,7,1,1,['Justina Machado_Sasha Farber_29'],['AJ McLean_Cheryl Burke_29'],-0.16666666666666666,0.5,0,1
2_1,2,1,10,1,0,['Kenny Mayne_Andrea Hale_2'],['Kenny Mayne_Andrea Hale_2'],0.1111111111111111,0.1111111111111111,1,1
2_2,2,2,9,1,0,"[""Tatum O'Neal_Nick Kosovich_2""]","[""Tatum O'Neal_Nick Kosovich_2""]",0.125,0.125,1,1
2_3,2,3,8,1,0,['Giselle Fernandez_Jonathan Roberts_2'],['Giselle Fernandez_Jonathan Roberts_2'],-0.14285714285714285,-0.14285714285714285,1,1
2_4,2,4,7,1,0,['Master P_Ashly DelGrosso_2'],['Master P_Ashly DelGrosso_2'],0.5,0.5,1,1
2_5,2,5,6,1,0,['Tia Carrere_Maksim Chmerkoskiy_2'],['Tia Carrere_Maksim Chmerkoskiy_2'],0.0,0.0,1,1
2_6,2,6,5,1,1,['Lisa Rinna_Louis van Amstel_2'],['George Hamilton_Edyta Sliwinska_2'],-0.5,0.25,0,1
2_7,2,7,4,1,0,['Lisa Rinna_Louis van Amstel_2'],['Lisa Rinna_Louis van Amstel_2'],0.0,0.0,1,1
30_2,30,2,15,1,0,['Martin Kove_Britt Stewart_30'],['Martin Kove_Britt Stewart_30'],0.07142857142857142,0.07142857142857142,1,1
30_3,30,3,14,1,0,['Christine Chiu_Pasha Pashkov_30'],['Christine Chiu_Pasha Pashkov_30'],-0.4615384615384615,-0.4615384615384615,1,1
30_4,30,4,13,2,1,"['Brian Austin Green_Sharna Burgess_30', 'Kenya Moore_Brandon Armstrong_30']","['Brian Austin Green_Sharna Burgess_30', 'Matt James_Lindsay Arnold_30']",0.16666666666666669,0.33333333333333337,1,2
30_5,30,5,11,1,1,['Suni Lee_Sasha Farber_30'],['Kenya Moore_Brandon Armstrong_30'],-0.4,-0.6000000000000001,0,0
30_6,30,6,10,1,0,['Kenya Moore_Brandon Armstrong_30'],['Kenya Moore_Brandon Armstrong_30'],0.2222222222222222,0.2222222222222222,1,1
30_7,30,7,9,1,1,['Suni Lee_Sasha Farber_30'],['Amanda Kloots_Alan Bersten_30'],-0.125,0.0,0,0
30_8,30,8,8,2,0,"['Jimmie Allen_Emma Slater_30', 'Olivia Jade_Valentin Chmerkovskiy_30']","['Jimmie Allen_Emma Slater_30', 'Olivia Jade_Valentin Chmerkovskiy_30']",0.21428571428571427,0.21428571428571427,2,2
